Word,Lg10CD_used
MANLY,2.1644
MOLAR,1.3424
HAVOC,1.7993
IMPEL,0.6021
CONDO,2.1461
JUDGE,3.2101
EXTRA,3.3162
POISE,1.5563
AORTA,1.7076
EXCEL,1.5315
LUNAR,1.6812
THIRD,3.3714
SLATE,2.1106
TAPER,1.0
CHORD,1.8261
RPROBE,0.301
RIVAL,2.1644
USUAL,3.1691
SPOKE,3.1778
APPLY,2.721
KNOCK,3.3199
BRAID,1.6128
INFER,1.3802
JOUST,1.3802
AMBER,2.0899
WOKEN,1.8573
ADORE,2.4698
TORSO,1.8865
CHAFE,1.1139
EJECT,1.6902
STUDY,3.1523
UNDUE,1.4472
TEPID,1.0414
HAPPY,3.7429
CLEN,0.301
ITCHY,2.0128
FEAST,2.3747
DRIVE,3.57
PRIME,2.738
AXIOM,0.9031
BRAVE,3.0461
AVERT,1.4472
GLYPH,0.699
THERE,3.922
BAKER,2.4232
SNARL,1.3617
MAPLE,1.9638
INANE,1.3424
VALET,2.1523
MEDAL,2.4728
UNITE,2.1072
RAINY,2.1847
SPELL,2.9469
BEGIN,3.3041
STALE,2.1173
DREAM,3.4487
PHOTO,2.8893
ALOUD,1.9445
INEPT,1.5563
PINEY,0.8451
APTLY,1.301
WALTZ,2.2601
LIBEL,1.4914
SNEAK,2.8681
CARRY,3.3389
FLOUT,0.9542
FOGGY,1.7782
FAULT,3.4916
MUMMY,2.2227
SPIEL,1.301
GROVE,2.0086
DENIM,1.4314
QUIRK,1.2788
EXIST,3.0212
STEIN,1.699
SPADE,1.7634
CATCH,3.5759
FLOOR,3.4366
EQUAL,2.7292
IONIC,0.9031
VALID,2.1875
ENJOY,3.4425
HOWDY,2.567
VIGOR,1.301
DANDY,2.2068
SLOTH,1.3979
MARXH,0.301
BOUGH,1.0792
STING,2.4249
TWINE,1.3424
LEAVE,3.8565
SCORN,1.6435
SCALD,1.1761
USURP,1.0
SOGGY,1.6335
BRISK,1.699
ADMIT,3.3276
GRATE,1.6335
GLORY,2.8041
SAINT,2.7033
RECAP,1.6435
ALIKE,2.6839
TRICE,0.7782
STICK,3.4765
CHUTE,2.0682
PARER,0.301
DOUBT,3.3357
THYME,0.9542
ALPHA,2.3201
BOOZE,2.6274
TIBIA,1.3617
LOFTY,1.5441
THEME,2.6532
CLASS,3.3885
LEERY,1.8388
TAUNT,1.4624
WHOOP,2.0043
INTER,1.2304
GULLY,1.415
CHARM,2.7767
FUNGI,0.8451
PRIZE,2.8669
ONSET,1.6128
CHIEF,3.1383
GAUZE,1.7559
RUDER,0.9542
IRONY,2.3032
CLOWN,2.6503
NEEDY,2.0828
WOVEN,1.5051
MERIT,2.1875
WASTE,3.2925
TREAT,3.2639
