model,seq_len,hidden_dim,lr,feature_mode,best_val_loss,test_loss,test_mae_avg,test_rmse_avg,test_mae_succ,test_rmse_succ,test_acc,test_macro_f1,test_dist_l1,test_dist_kl
BiLSTM,10,64,0.001,A,0.004212912924301166,0.006160535006168878,0.4490056037902832,0.5449599027633667,0.029625892639160156,0.03797607868909836,0.16981132075471697,0.16684079037020214,0.3946232795715332,0.1543026715517044
BiLSTM,10,64,0.001,B,0.004781385668768332,0.006427065891055566,0.4659884572029114,0.5687774419784546,0.027407430112361908,0.035773951560258865,0.22641509433962265,0.22745472745472747,0.3983387351036072,0.1552060842514038
BiLSTM,10,64,0.001,C,0.004890149495062919,0.010909653409331475,0.5781431198120117,0.6865969300270081,0.07940874993801117,0.08327716588973999,0.22641509433962265,0.20276497695852536,0.5906170606613159,0.29088589549064636
BiLSTM,10,64,0.0005,A,0.004284184640989854,0.003149719913226535,0.2869880199432373,0.3673676550388336,0.0259039718657732,0.032333847135305405,0.33962264150943394,0.2155332590115199,0.2803305387496948,0.08636613935232162
BiLSTM,10,64,0.0005,B,0.004461011347862391,0.0035884644888903735,0.30606356263160706,0.3938317894935608,0.026295015588402748,0.03175918757915497,0.32075471698113206,0.2789410802993146,0.3092053532600403,0.09635291993618011
BiLSTM,10,64,0.0005,C,0.005418977091232171,0.006107363480863706,0.40931469202041626,0.5037785172462463,0.04882261902093887,0.053653739392757416,0.24528301886792453,0.2332785987958402,0.4203837513923645,0.16524332761764526
BiLSTM,10,128,0.001,A,0.004113642463030724,0.007139130811786877,0.5166524052619934,0.6149150133132935,0.027778688818216324,0.038863640278577805,0.22641509433962265,0.21908061908061907,0.4315328001976013,0.1835574209690094
BiLSTM,10,128,0.001,B,0.004217717939844498,0.007550134103885799,0.5408756136894226,0.6562739610671997,0.0224379301071167,0.03142978996038437,0.2641509433962264,0.26707104126458964,0.42609548568725586,0.1933896541595459
BiLSTM,10,128,0.001,C,0.00447777218113725,0.005028580341769277,0.4141494035720825,0.5268978476524353,0.026980673894286156,0.04249222204089165,0.33962264150943394,0.3157181571815718,0.3462983965873718,0.1360551118850708
BiLSTM,10,128,0.0005,A,0.004142307228623674,0.006815038568709257,0.45652973651885986,0.5647159218788147,0.02468954771757126,0.032243434339761734,0.22641509433962265,0.21502129307007353,0.4061923921108246,0.15922869741916656
BiLSTM,10,128,0.0005,B,0.0040341513231396675,0.004127195025882068,0.35384029150009155,0.44103702902793884,0.027824070304632187,0.033561646938323975,0.24528301886792453,0.22967741935483868,0.32702237367630005,0.10916702449321747
BiLSTM,10,128,0.0005,C,0.0046741851390554355,0.0070360304506601025,0.42623209953308105,0.5468868613243103,0.05339127779006958,0.060234468430280685,0.3584905660377358,0.3537051184110007,0.44540268182754517,0.1890164166688919
BiLSTM,14,64,0.001,A,0.003197578220244716,0.005496920175993672,0.39785125851631165,0.49670878052711487,0.032062433660030365,0.050566207617521286,0.34615384615384615,0.32408906882591093,0.3722653090953827,0.13980458676815033
BiLSTM,14,64,0.001,B,0.0035320240091167242,0.011069417859499272,0.6594050526618958,0.8300831317901611,0.0748315155506134,0.10833506286144257,0.25,0.24337662337662339,0.5264902710914612,0.2865827679634094
BiLSTM,14,64,0.001,C,0.003767370807883494,0.003819905060271804,0.30301597714424133,0.39596104621887207,0.033758655190467834,0.038348838686943054,0.40384615384615385,0.31760683760683756,0.32331517338752747,0.10510477423667908
BiLSTM,14,64,0.0005,A,0.0034464863128960133,0.0052707091045494266,0.3664452135562897,0.4451870024204254,0.03248468413949013,0.0418534055352211,0.21153846153846154,0.15201465201465203,0.37538689374923706,0.13537630438804626
BiLSTM,14,64,0.0005,B,0.0038479871445280664,0.004360200317863088,0.3549438714981079,0.4414263069629669,0.03160170838236809,0.036387864500284195,0.3076923076923077,0.19791666666666666,0.34822872281074524,0.11428907513618469
BiLSTM,14,64,0.0005,C,0.0043747859057404245,0.0066362864767702725,0.38544875383377075,0.4668057858943939,0.05594063550233841,0.061252743005752563,0.2692307692307692,0.22222222222222224,0.45694559812545776,0.18400894105434418
BiLSTM,14,128,0.001,A,0.003399100702475099,0.006530500518587919,0.48214131593704224,0.6227966547012329,0.038368530571460724,0.05734587088227272,0.25,0.22572286572286573,0.39412274956703186,0.17567913234233856
BiLSTM,14,128,0.001,B,0.003369040116119911,0.008717389419101752,0.6064542531967163,0.739652693271637,0.039317771792411804,0.06574195623397827,0.34615384615384615,0.321219715956558,0.4676167666912079,0.23441918194293976
BiLSTM,14,128,0.001,C,0.003588357054646693,0.006808039015875413,0.42714494466781616,0.5402756333351135,0.038302723318338394,0.06062387302517891,0.3269230769230769,0.2844716834102062,0.4165530502796173,0.17527665197849274
BiLSTM,14,128,0.0005,A,0.0038378575917187275,0.0039598391785358004,0.32612988352775574,0.42370355129241943,0.03182336688041687,0.03650558739900589,0.3076923076923077,0.2576923076923077,0.324779212474823,0.10771019011735916
BiLSTM,14,128,0.0005,B,0.003321730257833705,0.0037033772812439846,0.3460206687450409,0.4372856020927429,0.02500854805111885,0.03311831131577492,0.25,0.16,0.3082588315010071,0.09632213413715363
BiLSTM,14,128,0.0005,C,0.003426211374793567,0.005666780787018629,0.41662517189979553,0.515608012676239,0.03984313830733299,0.046257056295871735,0.28846153846153844,0.27867965367965364,0.39572715759277344,0.15447542071342468
