model,seq_len,hidden_dim,lr,feature_mode,best_val_loss,test_loss,test_mae_avg,test_rmse_avg,test_mae_succ,test_rmse_succ,test_acc,test_macro_f1,test_dist_l1,test_dist_kl
Transformer,10,64,0.001,A,0.003958473805911266,0.004423454105151149,0.37970319390296936,0.4631006419658661,0.01909620873630047,0.026885012164711952,0.33962264150943394,0.3187042842215256,0.33118289709091187,0.11047372967004776
Transformer,10,64,0.001,B,0.0038454521339959824,0.004304366476201224,0.38061973452568054,0.4770713448524475,0.018643561750650406,0.027148466557264328,0.24528301886792453,0.23188125513706911,0.3198321759700775,0.11232706904411316
Transformer,10,64,0.001,C,0.003906364355666133,0.004237350419093415,0.3456348180770874,0.44031283259391785,0.013910757377743721,0.024796081706881523,0.2641509433962264,0.249597423510467,0.3031969368457794,0.11068002134561539
Transformer,10,64,0.0005,A,0.004008068649384838,0.005647809758676954,0.43754148483276367,0.5577985048294067,0.02540028840303421,0.03866376355290413,0.2641509433962264,0.2396551724137931,0.3632511496543884,0.14193150401115417
Transformer,10,64,0.0005,B,0.0041458334129017135,0.004951507222118243,0.42749229073524475,0.526452362537384,0.022011199966073036,0.03101004846394062,0.18867924528301888,0.15879007745857435,0.3496372699737549,0.12810514867305756
Transformer,10,64,0.0005,C,0.004192020188873777,0.004342575996833027,0.33645156025886536,0.4535662829875946,0.016050118952989578,0.02666473016142845,0.3018867924528302,0.2808959156785244,0.30341774225234985,0.11711061000823975
Transformer,10,128,0.001,A,0.003822548780590296,0.004673489510028992,0.3929274082183838,0.48550844192504883,0.020636796951293945,0.030411740764975548,0.24528301886792453,0.22936711308804333,0.3285100758075714,0.11888544261455536
Transformer,10,128,0.001,B,0.004042322066827462,0.00396198325105152,0.38053807616233826,0.46117597818374634,0.019870255142450333,0.025864435359835625,0.3018867924528302,0.29683936135549044,0.31270959973335266,0.10297224670648575
Transformer,10,128,0.001,C,0.0038842102512717247,0.005442748988433829,0.3969537317752838,0.4858267307281494,0.017401518300175667,0.02852705307304859,0.3584905660377358,0.3180858550316678,0.3544293940067291,0.13892139494419098
Transformer,10,128,0.0005,A,0.0038628201000392437,0.003709152235456233,0.35382580757141113,0.4457346200942993,0.02030075713992119,0.029193034395575523,0.3584905660377358,0.3197222222222222,0.29572707414627075,0.09874622523784637
Transformer,10,128,0.0005,B,0.004231468093796418,0.004513222434259248,0.3814469575881958,0.4883081614971161,0.020213007926940918,0.029868656769394875,0.3018867924528302,0.26461538461538464,0.3186282515525818,0.11737342178821564
Transformer,10,128,0.0005,C,0.004098989409752763,0.00430086687347799,0.38333144783973694,0.45597752928733826,0.019357692450284958,0.032486699521541595,0.24528301886792453,0.21083281797567513,0.32356545329093933,0.1090567484498024
Transformer,14,64,0.001,A,0.0026907672712981117,0.0038324046271065106,0.3558120131492615,0.43102386593818665,0.014699460007250309,0.0254395492374897,0.28846153846153844,0.2501666969752076,0.3058896064758301,0.09668852388858795
Transformer,14,64,0.001,B,0.0029143834322252695,0.004288283534921133,0.3841264843940735,0.4795379340648651,0.020540732890367508,0.031543608754873276,0.3076923076923077,0.3019400352733686,0.31857314705848694,0.11061331629753113
Transformer,14,64,0.001,C,0.003120020506720917,0.004867515240151148,0.38237735629081726,0.4819895029067993,0.019540099427103996,0.0308696236461401,0.28846153846153844,0.27559523809523806,0.3364364206790924,0.1255670189857483
Transformer,14,64,0.0005,A,0.002991821941024825,0.0035917034121946646,0.3239845633506775,0.4117928147315979,0.020467258989810944,0.031908947974443436,0.40384615384615385,0.40684897758068495,0.2950420081615448,0.08978059887886047
Transformer,14,64,0.0005,B,0.0028758504354924547,0.00475466985685321,0.4009229242801666,0.5083138942718506,0.02647809498012066,0.036333560943603516,0.38461538461538464,0.3823117135836673,0.3297249674797058,0.12092964351177216
Transformer,14,64,0.0005,C,0.0031021621817832485,0.005733695937893712,0.4311922490596771,0.5423581004142761,0.026683716103434563,0.0393759123980999,0.3269230769230769,0.3228070175438596,0.3642928898334503,0.15002991259098053
Transformer,14,128,0.001,A,0.002952199643843022,0.005020451230498461,0.4263820946216583,0.5360264778137207,0.022870255634188652,0.0317104198038578,0.28846153846153844,0.2781045751633987,0.34646013379096985,0.12965799868106842
Transformer,14,128,0.001,B,0.002914713481075916,0.004071456989130149,0.3337629437446594,0.43871787190437317,0.018096473067998886,0.02857186459004879,0.28846153846153844,0.27922359011653075,0.3000863790512085,0.10465797036886215
Transformer,14,128,0.001,C,0.003645002978908665,0.0055418076136937505,0.4028365910053253,0.5078592896461487,0.01712515950202942,0.02705485001206398,0.3076923076923077,0.29885956337569236,0.3455204665660858,0.14518381655216217
Transformer,14,128,0.0005,A,0.00303359244329234,0.003619213767636281,0.3442072570323944,0.4318196177482605,0.019417930394411087,0.028468169271945953,0.3076923076923077,0.2842252310337417,0.2902209460735321,0.09693121910095215
Transformer,14,128,0.0005,B,0.0031397822632582163,0.003954969991285067,0.3589630722999573,0.4586329162120819,0.02323291450738907,0.036834560334682465,0.4230769230769231,0.4080826970027531,0.29998132586479187,0.10355259478092194
Transformer,14,128,0.0005,C,0.0030936127090278793,0.005305986099231701,0.40488868951797485,0.5007648468017578,0.023581912741065025,0.034673646092414856,0.28846153846153844,0.25564039963291946,0.35989850759506226,0.1479721963405609
