model_type,seq_len,hidden_dim,lr,feature_mode,best_val_loss,test_loss,test_dist_l1,test_dist_emd,test_mae_avg
LSTM,0,64,0.001,A,0.003591479151509702,0.0028621297096833587,0.2712379992008209,0.324093231395138,0.27666754
LSTM,0,64,0.001,B,0.002718393283430487,0.002232165541499853,0.2346932664513588,0.28269845382431547,0.2612868
LSTM,0,64,0.001,C,0.0028250949108041823,0.0025179650401696563,0.25335004925727844,0.309292755022055,0.25645545
LSTM,0,64,0.0005,A,0.0034858722938224673,0.003134385449811816,0.2879461795091629,0.35184788174863957,0.29040447
LSTM,0,64,0.0005,B,0.0029423400992527604,0.0024019572883844376,0.2546033710241318,0.31518615921968374,0.26766643
LSTM,0,64,0.0005,C,0.003076288034208119,0.002898562583141029,0.277530312538147,0.33656363720822097,0.26381278
LSTM,0,128,0.001,A,0.003410861361771822,0.002695783623494208,0.25919461250305176,0.31324432787923956,0.2823058
LSTM,0,128,0.001,B,0.0027495052781887352,0.002174127963371575,0.2300581932067871,0.27792315106413956,0.25794673
LSTM,0,128,0.001,C,0.0027155123534612358,0.002555110724642873,0.24847941100597382,0.30473534047297246,0.26456326
LSTM,0,128,0.0005,A,0.0035590953193604946,0.0029285290511325,0.276007816195488,0.33246537295317036,0.2844871
LSTM,0,128,0.0005,B,0.0028712673811241984,0.00248882791493088,0.2536606416106224,0.29964707072676106,0.2551031
LSTM,0,128,0.0005,C,0.0028628765139728785,0.0024766483111307025,0.2494388446211815,0.30227762005828307,0.2611546
LSTM,10,64,0.001,A,0.00301266775932163,0.003085902542807162,0.2692655175924301,0.3307947917674912,0.30901906
LSTM,10,64,0.001,B,0.002984955324791372,0.0031905323266983032,0.2702055498957634,0.3323312005800108,0.3091808
LSTM,10,64,0.001,C,0.0030018644174560905,0.0032106342259794474,0.2834634780883789,0.34974137859287946,0.2940415
LSTM,10,64,0.0005,A,0.002983619226142764,0.003296073875389993,0.27508416771888733,0.3385185286811824,0.31232333
LSTM,10,64,0.0005,B,0.0029578799149021506,0.003141105524264276,0.2738804370164871,0.3368971396082231,0.30811414
LSTM,10,64,0.0005,C,0.0032933508045971394,0.00364962057210505,0.31349118053913116,0.39231423967848766,0.31200296
LSTM,10,128,0.001,A,0.0029323145281523466,0.003181146807037294,0.27795568108558655,0.3361988173781275,0.30676928
LSTM,10,128,0.001,B,0.0029875468462705612,0.003378470311872661,0.2865743786096573,0.3521229675535486,0.2998922
LSTM,10,128,0.001,C,0.0029281602473929524,0.003408998134545982,0.2805044800043106,0.3505396684536618,0.30476645
LSTM,10,128,0.0005,A,0.0029829058330506086,0.0037623614771291614,0.3015309125185013,0.3809189972749396,0.33229554
LSTM,10,128,0.0005,B,0.003024740726687014,0.0032241441076621413,0.27458810806274414,0.33249492227487276,0.3125496
LSTM,10,128,0.0005,C,0.0029356013983488083,0.0034083608770743012,0.2811225652694702,0.3467154631330552,0.31493554
LSTM,14,64,0.001,A,0.0029586501186713576,0.0032872335286810994,0.2838817685842514,0.3510890456203226,0.31078237
LSTM,14,64,0.001,B,0.0030892087379470468,0.0034329561749473214,0.28530529141426086,0.35627514154947315,0.31968114
LSTM,14,64,0.001,C,0.002953200659248978,0.0033941026777029037,0.2810855805873871,0.3458789502326556,0.30272248
LSTM,14,64,0.0005,A,0.002990441396832466,0.003333209897391498,0.28109128773212433,0.346209137693563,0.320046
LSTM,14,64,0.0005,B,0.002938989084213972,0.00337140541523695,0.2994823008775711,0.3537475132939362,0.28502482
LSTM,14,64,0.0005,C,0.0030933215748518705,0.003678238485008478,0.3008451610803604,0.370786293989975,0.31706104
LSTM,14,128,0.001,A,0.0029118931852281094,0.00301044259686023,0.26724159717559814,0.3414169376592854,0.31237686
LSTM,14,128,0.001,B,0.00301324634347111,0.003117755288258195,0.2720193415880203,0.3364609379174045,0.296898
LSTM,14,128,0.001,C,0.0031985489185899496,0.0035587205784395337,0.2889152020215988,0.35451313411800645,0.31967637
LSTM,14,128,0.0005,A,0.0029823784716427326,0.0034569657873362303,0.28809428215026855,0.36002257276001026,0.3109835
LSTM,14,128,0.0005,B,0.0030782141257077456,0.00319816661067307,0.28276321291923523,0.34515665622931724,0.3023344
LSTM,14,128,0.0005,C,0.0029453785973601043,0.0030311772134155035,0.272753968834877,0.3342733253074263,0.2984938
