model_type,seq_len,hidden_dim,lr,feature_mode,best_val_loss,test_loss,test_dist_l1,test_dist_emd,test_mae_avg
Transformer,0,64,0.001,A,0.0030775583581998944,0.002548402058891952,0.24186735600233078,0.29686020321308937,0.26740232
Transformer,0,64,0.001,B,0.0027414405485615134,0.0019409520318731666,0.22084681689739227,0.2650357475079007,0.24112518
Transformer,0,64,0.001,C,0.002656527911312878,0.002416687028016895,0.2409571260213852,0.30063594278997774,0.28266114
Transformer,0,64,0.0005,A,0.0033417876111343503,0.0027542547322809696,0.25281690806150436,0.3124570029694117,0.29194123
Transformer,0,64,0.0005,B,0.002592071075923741,0.0020212981617078185,0.21984780579805374,0.2731030798387317,0.26183054
Transformer,0,64,0.0005,C,0.0028348073246888816,0.002477562171407044,0.24770057201385498,0.30297959020367304,0.27622715
Transformer,0,128,0.001,A,0.0031054060673341155,0.002711262204684317,0.24812976270914078,0.3022013845192274,0.28271174
Transformer,0,128,0.001,B,0.002903613029047847,0.002388404682278633,0.24223463982343674,0.2881254617464041,0.25548196
Transformer,0,128,0.001,C,0.0029501571552827954,0.0026375032030045986,0.24894654005765915,0.29538696145926213,0.2793331
Transformer,0,128,0.0005,A,0.0033380166860297322,0.0025666343281045556,0.24218332022428513,0.3032090477479242,0.30083957
Transformer,0,128,0.0005,B,0.0029383492656052113,0.002419360796920955,0.23819107562303543,0.2910447022177468,0.26122585
Transformer,0,128,0.0005,C,0.003144880407489836,0.002752397209405899,0.25963979959487915,0.302194729460382,0.27432594
Transformer,10,64,0.001,A,0.002907902584411204,0.0030034853843972087,0.270469531416893,0.3318758031427951,0.29222083
Transformer,10,64,0.001,B,0.002935373689979315,0.0029077589279040694,0.2619294971227646,0.3268958486372716,0.30622977
Transformer,10,64,0.001,C,0.0029055364429950714,0.0030265786917880177,0.26629211008548737,0.3322715316639188,0.308703
Transformer,10,64,0.0005,A,0.0027188044041395187,0.0030410377075895667,0.2692394033074379,0.33108058287096065,0.2872754
Transformer,10,64,0.0005,B,0.0028484220383688807,0.002726454520598054,0.2536734417080879,0.3074679394216219,0.2864835
Transformer,10,64,0.0005,C,0.0029858124908059835,0.002909122733399272,0.2650214210152626,0.3225884372330521,0.29725653
Transformer,10,128,0.001,A,0.0030015268130227923,0.0030207616509869695,0.2724766582250595,0.31918600270870034,0.28935862
Transformer,10,128,0.001,B,0.0028353517409414053,0.0027566873468458652,0.251668244600296,0.3051390089852219,0.27664036
Transformer,10,128,0.001,C,0.0029164160368964076,0.0029312337283045053,0.26484060287475586,0.3361071508162157,0.3156282
Transformer,10,128,0.0005,A,0.0034179906360805035,0.003597957780584693,0.2851031571626663,0.35743574695867686,0.3308795
Transformer,10,128,0.0005,B,0.003080114023759961,0.003512375638820231,0.2848080173134804,0.3355938665244821,0.28734335
Transformer,10,128,0.0005,C,0.0032272724201902747,0.0030230184784159064,0.2679688632488251,0.3290117110278078,0.3065838
Transformer,14,64,0.001,A,0.0028856410644948483,0.0034546159440651536,0.2810782939195633,0.3545324413207189,0.31557286
Transformer,14,64,0.001,B,0.002863337635062635,0.0032069284934550524,0.27164001762866974,0.34336669522523144,0.31617168
Transformer,14,64,0.001,C,0.002967033884488046,0.0032603407744318247,0.27417145669460297,0.34200972572431115,0.30774236
Transformer,14,64,0.0005,A,0.0028619185322895646,0.0026355896843597293,0.26293443888425827,0.32041270668577404,0.28276792
Transformer,14,64,0.0005,B,0.0027203167555853724,0.0030341113451868296,0.26557474583387375,0.325055723713239,0.30367362
Transformer,14,64,0.0005,C,0.003021893324330449,0.002900267136283219,0.2668100371956825,0.3288878116166377,0.30399027
Transformer,14,128,0.001,A,0.002869210788048804,0.0027670467970892787,0.2559136152267456,0.3183537513836845,0.29920235
Transformer,14,128,0.001,B,0.0031097036553546786,0.0038748857332393527,0.30020771920681,0.3817960969706312,0.33635506
Transformer,14,128,0.001,C,0.002970054978504777,0.0031142274383455515,0.26932574808597565,0.33929539254572416,0.31860957
Transformer,14,128,0.0005,A,0.002799547975882888,0.002965839230455458,0.2622348368167877,0.3261656363227018,0.31338233
Transformer,14,128,0.0005,B,0.0027250914135947824,0.0029160398989915848,0.26191213726997375,0.33319268772305616,0.3011168
Transformer,14,128,0.0005,C,0.003032863955013454,0.002811207959894091,0.252193346619606,0.31512554631326584,0.31250435
